Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
1,1,0.555568,0.555558,0,0,0.358571,0.19365,0.00328239,5.39534E-05,2.47023E-07,1.62852E-07,3.6596E-08,2.92731E-08,0.166383,0.0880887,0.000227526,4.74602E-07,2.5876E-10,1.09393E-10,1.40729E-11,5.92544E-12
1,2,1.59272,1.5927,0,0,0,1.30462,0.283654,0.00438158,2.00608E-05,1.32253E-05,2.97198E-06,2.37728E-06,0,0.611913,0.118013,0.000257029,1.40136E-07,5.92438E-08,7.62145E-09,3.20903E-09
1,3,2.36006,2.35988,0,0,0,0,1.95934,0.397241,0.00171269,0.0011291,0.000253731,0.00020296,0,0,0.918888,0.162879,9.26527E-05,3.91698E-05,5.03902E-06,2.12169E-06
1,4,2.39767,2.39579,0,0,0,0,0,2.02378,0.211972,0.115524,0.0259138,0.0185959,0,0,0,0.835671,0.0187687,0.00793464,0.00102075,0.000429791
1,5,2.42926,2.42322,0,0,0,0,0,0.000295512,1.1262,0.98877,0.183494,0.124456,0,0,0,0,0,0,0,0
1,6,2.49851,2.48809,0,0,0,0,0,9.42281E-16,0.000958518,1.43756,0.674688,0.374882,0,0,0,0,0,0,0,0
1,7,2.67257,2.6552,0,0,0,0,0,0,7.38172E-10,0.0501136,1.37752,1.22756,0,0,0,0,0,0,0,0
1,8,3.45914,3.42485,0,0,0,0,0,0,9.07948E-11,0.00410872,0.261145,3.1596,0,0,0,0,0,0,0,0
2,1,0.553922,0.553911,0,0,0.359154,0.191454,0.00324934,5.34101E-05,2.44535E-07,1.61212E-07,3.62274E-08,2.89783E-08,0.16676,0.0869602,0.000224455,4.68196E-07,2.55268E-10,1.07917E-10,1.3883E-11,5.84547E-12
2,2,1.58645,1.58642,0,0,0,1.30333,0.278749,0.00430785,1.97233E-05,1.30027E-05,2.92196E-06,2.33728E-06,0,0.611347,0.115709,0.000251956,1.3737E-07,5.80745E-08,7.47103E-09,3.14569E-09
2,3,2.35969,2.35952,0,0,0,0,1.96372,0.392538,0.00169297,0.0011161,0.00025081,0.000200623,0,0,0.920983,0.160617,9.13538E-05,3.86207E-05,4.96838E-06,2.09195E-06
2,4,2.39759,2.39571,0,0,0,0,0,2.02848,0.209153,0.114108,0.0255963,0.0183763,0,0,0,0.839426,0.0186508,0.00788478,0.00101434,0.000427091
2,5,2.42925,2.42321,0,0,0,0,0,0.000296203,1.12675,0.988302,0.183442,0.124421,0,0,0,0,0,0,0,0
2,6,2.49807,2.48767,0,0,0,0,0,9.54901E-16,0.000971356,1.4433,0.67013,0.37327,0,0,0,0,0,0,0,0
2,7,2.67219,2.65484,0,0,0,0,0,0,7.4368E-10,0.050596,1.37905,1.22519,0,0,0,0,0,0,0,0
2,8,3.45867,3.42438,0,0,0,0,0,0,9.08372E-11,0.00411067,0.261336,3.15893,0,0,0,0,0,0,0,0
3,1,0.551416,0.551406,0,0,0.359782,0.188367,0.00320238,5.26382E-05,2.41001E-07,1.58882E-07,3.57039E-08,2.85595E-08,0.1672,0.0853752,0.000220162,4.59242E-07,2.50386E-10,1.05853E-10,1.36175E-11,5.73368E-12
3,2,1.57882,1.5788,0,0,0,1.30169,0.272849,0.00421909,1.93169E-05,1.27348E-05,2.86176E-06,2.28912E-06,0,0.610625,0.112942,0.000245866,1.3405E-07,5.66709E-08,7.29046E-09,3.06966E-09
3,3,2.35924,2.35906,0,0,0,0,1.96907,0.386778,0.00166882,0.00110018,0.000247232,0.000197761,0,0,0.923547,0.157849,8.97637E-05,3.79485E-05,4.8819E-06,2.05553E-06
3,4,2.39748,2.39562,0,0,0,0,0,2.03456,0.205509,0.112273,0.025185,0.0180917,0,0,0,0.844286,0.018494,0.0078185,0.00100581,0.000423501
3,5,2.42923,2.42319,0,0,0,0,0,0.000297143,1.1275,0.987652,0.18337,0.124373,0,0,0,0,0,0,0,0
3,6,2.49743,2.48706,0,0,0,0,0,9.73318E-16,0.000990091,1.45168,0.663475,0.370918,0,0,0,0,0,0,0,0
3,7,2.67154,2.65421,0,0,0,0,0,0,7.5309E-10,0.05142,1.38166,1.22113,0,0,0,0,0,0,0,0
3,8,3.45775,3.42349,0,0,0,0,0,0,9.09143E-11,0.0041142,0.261683,3.15769,0,0,0,0,0,0,0,0
4,1,0.55042,0.55041,0,0,0.360124,0.187051,0.00318253,5.23121E-05,2.39508E-07,1.57898E-07,3.54826E-08,2.83826E-08,0.167423,0.0846982,0.000218321,4.55402E-07,2.48292E-10,1.04968E-10,1.35036E-11,5.68574E-12
4,2,1.57454,1.57451,0,0,0,1.3008,0.269509,0.00416887,0.000019087,1.25832E-05,2.8277E-06,2.26188E-06,0,0.610232,0.111373,0.000242414,1.32168E-07,5.58752E-08,7.18809E-09,3.02656E-09
4,3,2.35893,2.35876,0,0,0,0,1.97268,0.382895,0.00165253,0.00108945,0.00024482,0.000195832,0,0,0.925276,0.155982,8.86915E-05,3.74952E-05,4.82358E-06,2.03098E-06
4,4,2.39739,2.39555,0,0,0,0,0,2.03934,0.202641,0.110836,0.0248628,0.0178689,0,0,0,0.848096,0.0183773,0.00776918,0.000999469,0.000420829
4,5,2.42922,2.42318,0,0,0,0,0,0.000298004,1.12817,0.987077,0.183307,0.12433,0,0,0,0,0,0,0,0
4,6,2.49685,2.48651,0,0,0,0,0,9.89952E-16,0.00100701,1.45922,0.657484,0.368799,0,0,0,0,0,0,0,0
4,7,2.67084,2.65353,0,0,0,0,0,0,7.63313E-10,0.0523154,1.38449,1.21673,0,0,0,0,0,0,0,0
4,8,3.45689,3.42264,0,0,0,0,0,0,9.09945E-11,0.00411788,0.262045,3.15648,0,0,0,0,0,0,0,0
5,1,0.550098,0.550088,0,0,0.360285,0.186574,0.00317544,5.21955E-05,2.38974E-07,1.57546E-07,3.54036E-08,2.83193E-08,0.167521,0.0844524,0.000217649,0.000000454,2.47528E-10,1.04645E-10,1.34621E-11,5.66824E-12
5,2,1.57267,1.57265,0,0,0,1.30042,0.268043,0.00414684,1.89861E-05,1.25167E-05,2.81275E-06,2.24992E-06,0,0.610067,0.110684,0.000240896,1.3134E-07,5.55254E-08,7.14309E-09,3.00761E-09
5,3,2.35878,2.3586,0,0,0,0,1.97456,0.380879,0.00164409,0.00108388,0.000243568,0.00019483,0,0,0.926175,0.155012,8.81345E-05,3.72597E-05,4.79329E-06,2.01822E-06
5,4,2.39734,2.39551,0,0,0,0,0,2.04222,0.200906,0.10997,0.0246687,0.0177349,0,0,0,0.850391,0.0183102,0.00774082,0.00099582,0.000419293
5,5,2.42921,2.42318,0,0,0,0,0,0.000298615,1.12864,0.986677,0.183262,0.124299,0,0,0,0,0,0,0,0
5,6,2.49644,2.48612,0,0,0,0,0,1.0018E-15,0.00101907,1.46459,0.653222,0.367291,0,0,0,0,0,0,0,0
5,7,2.67025,2.65297,0,0,0,0,0,0,7.71898E-10,0.0530673,1.38686,1.21303,0,0,0,0,0,0,0,0
5,8,3.45618,3.42194,0,0,0,0,0,0,9.10619E-11,0.00412097,0.262349,3.15547,0,0,0,0,0,0,0,0
6,1,0.550034,0.550024,0,0,0.360359,0.186438,0.00317349,5.21634E-05,2.38827E-07,1.57449E-07,3.53818E-08,2.83019E-08,0.167563,0.0843818,0.000217454,4.53592E-07,2.47305E-10,1.04551E-10,1.345E-11,5.66314E-12
6,2,1.57197,1.57195,0,0,0,1.30028,0.267487,0.00413849,1.89478E-05,1.24915E-05,2.80709E-06,2.24539E-06,0,0.610008,0.110422,0.000240319,1.31026E-07,5.53924E-08,7.12598E-09,3.00041E-09
6,3,2.35871,2.35853,0,0,0,0,1.97541,0.379965,0.00164025,0.00108135,0.000243001,0.000194376,0,0,0.926584,0.154571,8.78813E-05,3.71527E-05,4.77952E-06,2.01243E-06
6,4,2.39731,2.39548,0,0,0,0,0,2.04373,0.199997,0.109518,0.0245674,0.017665,0,0,0,0.85159,0.0182764,0.00772651,0.000993979,0.000418518
6,5,2.42921,2.42317,0,0,0,0,0,0.000298976,1.12891,0.98644,0.183236,0.124282,0,0,0,0,0,0,0,0
6,6,2.49619,2.48588,0,0,0,0,0,1.00917E-15,0.00102656,1.46794,0.650564,0.366352,0,0,0,0,0,0,0,0
6,7,2.66984,2.65256,0,0,0,0,0,0,7.77961E-10,0.0535983,1.38854,1.21042,0,0,0,0,0,0,0,0
6,8,3.45567,3.42144,0,0,0,0,0,0,9.11107E-11,0.00412321,0.262569,3.15475,0,0,0,0,0,0,0,0
7,1,0.55005,0.55004,0,0,0.360395,0.186419,0.00317327,5.21598E-05,2.38811E-07,1.57438E-07,3.53794E-08,2.82999E-08,0.167581,0.084371,0.000217421,4.53525E-07,2.47269E-10,1.04535E-10,1.3448E-11,5.6623E-12
7,2,1.57172,1.5717,0,0,0,1.30024,0.267287,0.00413549,1.89341E-05,1.24825E-05,2.80506E-06,2.24377E-06,0,0.609988,0.110328,0.000240112,1.30913E-07,5.53446E-08,7.11983E-09,2.99782E-09
7,3,2.35868,2.3585,0,0,0,0,1.97578,0.379568,0.00163859,0.00108026,0.000242754,0.000194179,0,0,0.926762,0.15438,8.77713E-05,3.71062E-05,4.77354E-06,2.00991E-06
7,4,2.3973,2.39547,0,0,0,0,0,2.04446,0.199557,0.1093,0.0245184,0.0176312,0,0,0,0.852168,0.0182604,0.00771977,0.000993112,0.000418152
7,5,2.4292,2.42317,0,0,0,0,0,0.000299164,1.12906,0.986316,0.183222,0.124272,0,0,0,0,0,0,0,0
7,6,2.49604,2.48574,0,0,0,0,0,1.0133E-15,0.00103077,1.46983,0.649059,0.36582,0,0,0,0,0,0,0,0
7,7,2.66958,2.65231,0,0,0,0,0,0,7.81715E-10,0.0539272,1.38958,1.2088,0,0,0,0,0,0,0,0
