Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
1,1,0.445107,0.440165,0,0,0.324787,0.113677,0.00167287,2.74974E-05,1.25895E-07,8.29975E-08,1.86511E-08,1.4919E-08,0.0975371,0.0406151,0.000116169,2.4232E-07,1.32117E-10,5.58536E-11,7.18531E-12,3.02539E-12
1,2,1.09968,1.07464,0,0,0,0.931362,0.141202,0.00205584,9.41255E-06,6.20531E-06,1.39445E-06,1.11542E-06,0,0.32731,0.0521901,0.000118883,6.48168E-08,2.74019E-08,3.52514E-09,1.48427E-09
1,3,1.7338,1.56371,0,0,0,0,1.3748,0.187405,0.000784003,0.000516861,0.000116149,9.29073E-05,0,0,0.540651,0.0693722,4.04603E-05,0.000017105,2.20048E-06,9.26516E-07
1,4,2.57665,1.93706,0,0,0,0,0,1.74071,0.111021,0.0615069,0.0137996,0.010027,0,0,0,0.696421,0.0115615,0.00488774,0.000628784,0.000264751
1,5,3.22767,2.30356,0,0,0,0,0,0.000302843,1.09688,0.920795,0.17017,0.11542,0,0,0,0,0,0,0,0
1,6,3.35574,2.40569,0,0,0,0,0,1.11096E-15,0.00115417,1.47656,0.590131,0.337846,0,0,0,0,0,0,0,0
1,7,3.55727,2.59635,0,0,0,0,0,0,8.71948E-10,0.0626742,1.39657,1.1371,0,0,0,0,0,0,0,0
1,8,4.32259,3.38091,0,0,0,0,0,0,9.08452E-11,0.00411255,0.26399,3.11281,0,0,0,0,0,0,0,0
2,1,0.443129,0.438168,0,0,0.324847,0.111645,0.00164791,0.000027087,1.24016E-07,8.1759E-08,1.83728E-08,1.46964E-08,0.0974645,0.0399321,0.000114001,2.37799E-07,1.29651E-10,5.48114E-11,7.05123E-12,2.96894E-12
2,2,1.09883,1.07384,0,0,0,0.93095,0.140817,0.00205029,9.38715E-06,6.18856E-06,1.39069E-06,1.11241E-06,0,0.327102,0.0520468,0.000118555,6.46379E-08,2.73263E-08,3.51541E-09,1.48017E-09
2,3,1.73833,1.56563,0,0,0,0,1.36971,0.194352,0.000811452,0.000534957,0.000120215,9.61601E-05,0,0,0.538682,0.0724144,4.22741E-05,1.78718E-05,2.29913E-06,9.68052E-07
2,4,2.60249,1.95033,0,0,0,0,0,1.73004,0.125066,0.0686653,0.0154047,0.0111498,0,0,0,0.685601,0.0123787,0.00523321,0.000673228,0.000283464
2,5,3.22789,2.30373,0,0,0,0,0,0.000298438,1.09342,0.923854,0.170503,0.115646,0,0,0,0,0,0,0,0
2,6,3.35656,2.40639,0,0,0,0,0,1.08318E-15,0.0011253,1.47049,0.594992,0.33979,0,0,0,0,0,0,0,0
2,7,3.55765,2.59672,0,0,0,0,0,0,8.66651E-10,0.0622016,1.39524,1.13927,0,0,0,0,0,0,0,0
2,8,4.32073,3.379,0,0,0,0,0,0,9.08878E-11,0.00411449,0.26418,3.1107,0,0,0,0,0,0,0,0
3,1,0.4408,0.435822,0,0,0.32518,0.108998,0.0016166,2.65724E-05,1.2166E-07,8.02056E-08,1.80237E-08,1.44172E-08,0.0974269,0.0390828,0.000111229,2.32016E-07,1.26499E-10,5.34785E-11,6.87975E-12,2.89674E-12
3,2,1.09572,1.0709,0,0,0,0.930139,0.138722,0.00202112,9.25357E-06,6.1005E-06,1.3709E-06,1.09658E-06,0,0.326663,0.0512053,0.000116601,6.35724E-08,2.68758E-08,3.45745E-09,1.45577E-09
